plantID,datetimeRecorded,leafTemp,ambientTemp,soilMoisture,redStrength,greenStrength,blueStrength,lightnessStrength,greenMagentaStrength,blueYellowStrength,hueStrength,saturationStrength,valueStrength
5,2021-07-24 07:54:22,21.11,22.63,883.0,78.82746,116.45342,63.43508,114.10765,105.27484,152.63918,49.67107,134.40147,118.76702
2,2021-07-24 08:38:30,22.69,23.65,1015.0,86.4868,120.45618,64.201935,118.56117,105.87881,154.70274,46.037457,129.08368,121.92924
4,2021-07-24 08:49:34,22.95,23.73,1014.0,76.781265,111.39951,61.953007,109.96215,106.50267,151.45009,50.44652,130.79877,113.47066
6,2021-07-24 09:23:59,22.07,22.75,865.0,85.049255,125.26473,66.1702,122.725815,103.13657,155.61641,51.920944,136.94736,127.70255
3,2021-07-24 09:35:45,22.83,23.77,984.0,73.7685,104.89081,52.73238,103.3101,107.07762,153.29945,47.7576,144.24173,105.628784
2,2021-07-24 10:40:01,22.95,24.21,1015.0,78.26444,114.31347,58.560406,111.360405,105.45325,154.04828,46.368393,140.3869,115.48099
1,2021-07-24 11:12:42,21.95,22.83,1001.0,93.78827,128.63644,68.058586,126.49372,105.39285,156.34215,46.97037,134.06227,131.09784
6,2021-07-24 11:24:18,22.65,23.41,842.0,80.43089,114.32569,60.748356,113.00408,107.6016,153.25531,48.2281,148.57315,120.94676
5,2021-07-24 11:55:10,21.57,23.29,923.0,80.65391,115.05919,56.618904,111.91763,106.23572,155.15303,43.90958,146.2883,117.75509
2,2021-07-24 12:40:50,23.51,25.09,1015.0,79.27452,109.59669,59.506413,107.81079,108.18621,151.97195,44.693806,129.88481,111.433525
4,2021-07-24 12:50:40,23.65,24.59,1012.0,77.13051,110.567726,58.96079,108.7381,106.8267,152.39316,48.88282,136.16736,112.23928
3,2021-07-24 13:38:22,23.35,24.39,1014.0,72.71163,101.36131,48.537666,99.7765,108.00858,153.81773,45.151882,147.82675,101.79572
4,2021-07-24 14:50:59,23.59,24.43,1014.0,67.350464,104.393974,60.102127,102.61559,106.26083,148.6543,56.12886,136.94061,105.64196
1,2021-07-24 15:13:54,22.41,23.21,1016.0,84.277855,121.05897,64.91492,119.206024,104.38688,154.52145,51.297573,127.82578,121.86439
6,2021-07-24 15:24:51,22.59,23.27,894.0,89.076965,118.5297,58.137867,117.8514,106.7406,157.60266,47.774952,140.1018,121.087524
5,2021-07-22 19:48:14,23.21,23.85,941.0,80.58731,121.69061,68.70955,118.85343,103.707115,152.35574,51.67696,129.01825,122.95152
1,2021-07-23 13:07:52,22.19,23.43,1016.0,96.97603,134.09398,71.741646,131.4276,104.3496,156.78223,48.674618,132.94505,136.10847
1,2021-07-23 15:08:37,22.65,23.67,1015.0,86.61217,125.124275,66.295715,122.91286,103.50388,155.57576,51.532825,130.22365,126.08208
6,2021-07-23 17:21:34,25.23,26.33,894.0,80.37383,75.56216,37.4215,78.09989,125.06504,149.32492,23.690956,161.7964,85.27354
3,2021-07-23 17:31:46,24.39,26.21,1013.0,93.536896,126.17849,62.628246,124.55616,105.04104,158.47997,45.720932,136.69392,126.27387
5,2021-07-23 17:52:22,23.59,26.554,922.0,85.878334,89.072716,41.745556,90.50472,120.11912,153.12753,28.89268,152.7655,95.08385
6,2021-07-23 19:21:55,23.23,24.15,951.0,70.5147,100.41246,56.942738,99.02817,109.83696,149.00102,46.848095,140.46924,105.36231
3,2021-07-23 21:33:04,23.85,24.73,1015.0,38.001835,52.535774,29.141043,50.86012,116.978165,140.5673,49.5438,125.0204,52.628216
6,2021-07-23 23:22:38,22.358,23.05,857.0,55.033077,66.44491,34.821495,66.47213,116.9512,145.49527,43.38838,126.34055,68.26165
